X Gaze Data, Y Gaze Data, Time 
1738,337,7622206
1737,335,7622215
1737,333,7622227
1717,327,7622239
1714,327,7622248
1706,322,7622260
1694,317,7622272
1693,317,7622281
1678,319,7622294
1676,319,7622305
1676,319,7622315
1676,316,7622327
1676,316,7622338
1676,316,7622348
1673,315,7622360
1674,315,7622372
1674,315,7622381
1675,314,7622394
1675,314,7622405
1675,314,7622415
1666,319,7622427
1668,317,7622438
1668,317,7622448
1666,317,7622460
1668,317,7622472
1668,318,7622481
1665,321,7622493
1666,321,7622505
1667,320,7622515
1672,318,7622527
1671,320,7622538
1671,320,7622548
1671,324,7622560
1670,325,7622571
1670,325,7622581
1670,324,7622593
1670,324,7622605
1670,324,7622615
1662,322,7622627
1704,318,7622638
1706,318,7622648
1714,317,7622660
1713,317,7622671
1716,317,7622681
1738,316,7622693
1742,316,7622705
1743,316,7622714
1749,318,7622727
1749,318,7622738
1748,319,7622748
1746,319,7622760
1747,319,7622771
1746,319,7622781
1743,320,7622793
1743,322,7622805
1743,323,7622814
1742,323,7622827
1739,328,7622838
1738,329,7622848
1737,336,7622860
1736,334,7622871
1617,296,7622881
1511,264,7622893
1153,164,7622904
1132,158,7622914
1104,150,7622927
1084,141,7622938
1069,134,7622948
1062,134,7622960
1070,124,7622971
1066,122,7622981
1070,126,7622993
1068,124,7623004
1068,124,7623014
1073,126,7623027
1078,132,7623038
1079,134,7623048
1086,145,7623060
1089,154,7623071
1089,155,7623081
1089,156,7623093
1087,151,7623104
1087,150,7623114
1087,149,7623126
1084,147,7623138
1084,147,7623148
1087,147,7623160
1088,147,7623171
1088,148,7623181
1088,161,7623193
1089,157,7623204
1089,157,7623214
1092,159,7623226
1112,162,7623238
1114,162,7623247
1117,159,7623259
1114,160,7623271
1114,160,7623281
1118,157,7623293
1121,153,7623304
1121,153,7623314
1120,153,7623326
1120,153,7623337
1120,154,7623347
1121,155,7623360
